===========================================================================================================================================================================================================================
      RP |      scs |        k |    theta |      psi | st_1_deg | st_2_deg | st_3_deg | da_1_deg | da_2_deg | da_3_deg | dd_1_deg | dd_2_deg | dd_3_deg | st_1_rad | st_2_rad | st_3_rad | da_1_rad | da_2_rad | da_3_rad | dd_1_rad | dd_2_rad | dd_3_rad | RP_z_deg | RP_z_rad | Tot_z_deg | Tot_z_rad
1.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.0700 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
1.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.0800 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
1.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.0900 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
1.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 87.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 177.0000 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 3.0935 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
2.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 4.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 94.0000 |    NaN | 1.0000 | 0.0699 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.6429 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
3.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 339.0000 |    NaN | 1.0000 | 87.0000 |    NaN | 1.0000 | 69.0000 |    NaN | 1.0000 | 5.9248 |    NaN | 1.0000 | 1.5205 |    NaN | 1.0000 | 1.2059 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
4.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 102.0000 |    NaN | 1.0000 | 86.0000 |    NaN | 1.0000 | 192.0000 |    NaN | 1.0000 | 1.7827 |    NaN | 1.0000 | 1.5030 |    NaN | 1.0000 | 3.3556 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
5.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 350.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 80.0000 |    NaN | 1.0000 | 6.1170 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.3982 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
6.0000 | 0.1000 | 15.0000 | 10.0000 | 0.1000 | 359.0000 |    NaN | 1.0000 | 40.0000 |    NaN | 1.0000 | 89.0000 |    NaN | 1.0000 | 6.2743 |    NaN | 1.0000 | 0.6991 |    NaN | 1.0000 | 1.5555 |    NaN | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000
